full_text,text_clean,token,text_normalized,stop,stemmed,polarity,stemmed_text
@BosRQ_ Delete tiktok soalnya emang gapernah punya. Facebook buat marketplace berguna banget buat jual/beli barang2,delete tiktok soalnya emang gapernah punya facebook buat marketplace berguna banget buat jualbeli barang,"['delete', 'tiktok', 'soalnya', 'emang', 'gapernah', 'punya', 'facebook', 'buat', 'marketplace', 'berguna', 'banget', 'buat', 'jualbeli', 'barang']",delete tiktok soalnya memang tidak pernah punya facebook buat marketplace berguna banget buat jualbeli barang,"['delete', 'tiktok', 'soalnya', 'memang', 'pernah', 'punya', 'facebook', 'buat', 'marketplace', 'berguna', 'banget', 'buat', 'jualbeli', 'barang']","['delete', 'tiktok', 'soal', 'memang', 'pernah', 'punya', 'facebook', 'buat', 'marketplace', 'guna', 'banget', 'buat', 'jualbeli', 'barang']",positive,delete tiktok soal memang pernah punya facebook buat marketplace guna banget buat jualbeli barang
@BosRQ_ semua mayan penting buat gabut sih Facebook dengan marketplace nya grup2 jual beli yg mayan bgt x dengan informasi cepat dan jualan juga ig interaksi sama tmn rl tiktok buat scroll klo gabut ,semua mayan penting buat gabut sih facebook dengan marketplace nya grup jual beli yg mayan bgt dengan informasi cepat dan jualan juga ig interaksi sama tmn rl tiktok buat scroll klo gabut,"['semua', 'mayan', 'penting', 'buat', 'gabut', 'sih', 'facebook', 'dengan', 'marketplace', 'nya', 'grup', 'jual', 'beli', 'yg', 'mayan', 'bgt', 'dengan', 'informasi', 'cepat', 'dan', 'jualan', 'juga', 'ig', 'interaksi', 'sama', 'tmn', 'rl', 'tiktok', 'buat', 'scroll', 'klo', 'gabut']",semua mayan penting buat gabut sih facebook dengan marketplace nya grup jual beli yang mayan begitu dengan informasi cepat dan jualan juga ig interaksi sama teman rl tiktok buat scroll kalau gabut,"['semua', 'mayan', 'penting', 'buat', 'gabut', 'sih', 'facebook', 'marketplace', 'nya', 'grup', 'jual', 'beli', 'mayan', 'informasi', 'cepat', 'jualan', 'ig', 'interaksi', 'sama', 'teman', 'rl', 'tiktok', 'buat', 'scroll', 'kalau', 'gabut']","['semua', 'mayan', 'penting', 'buat', 'gabut', 'sih', 'facebook', 'marketplace', 'nya', 'grup', 'jual', 'beli', 'mayan', 'informasi', 'cepat', 'jual', 'ig', 'interaksi', 'sama', 'teman', 'rl', 'tiktok', 'buat', 'scroll', 'kalau', 'gabut']",positive,semua mayan penting buat gabut sih facebook marketplace nya grup jual beli mayan informasi cepat jual ig interaksi sama teman rl tiktok buat scroll kalau gabut
Jangkauan jual beli facebook &gt; marketplace manapun,jangkauan jual beli facebook gt marketplace manapun,"['jangkauan', 'jual', 'beli', 'facebook', 'gt', 'marketplace', 'manapun']",jangkauan jual beli facebook begitu marketplace manapun,"['jangkauan', 'jual', 'beli', 'facebook', 'marketplace', 'manapun']","['jangkau', 'jual', 'beli', 'facebook', 'marketplace', 'mana']",positive,jangkau jual beli facebook marketplace mana
buka marketplace facebook jual-beli hp. Captionnya dijual hp seri xxx ga kepake krn dpt hadiah dr kantor. Anj kantor mana yg hadiahnya hp : ) klo difasilitasi... iya ya gue percaya. Ini hadiah kantor loh ️ Klo jual mah jual aj jgn ada embel embel hadiah kantor. Kocak,buka marketplace facebook jualbeli hp captionnya dijual hp seri xxx ga kepake krn dpt hadiah dr kantor anj kantor mana yg hadiahnya hp klo difasilitasi iya ya gue percaya ini hadiah kantor loh klo jual mah jual aj jgn ada embel embel hadiah kantor kocak,"['buka', 'marketplace', 'facebook', 'jualbeli', 'hp', 'captionnya', 'dijual', 'hp', 'seri', 'xxx', 'ga', 'kepake', 'krn', 'dpt', 'hadiah', 'dr', 'kantor', 'anj', 'kantor', 'mana', 'yg', 'hadiahnya', 'hp', 'klo', 'difasilitasi', 'iya', 'ya', 'gue', 'percaya', 'ini', 'hadiah', 'kantor', 'loh', 'klo', 'jual', 'mah', 'jual', 'aj', 'jgn', 'ada', 'embel', 'embel', 'hadiah', 'kantor', 'kocak']",buka marketplace facebook jualbeli hp captionnya dijual hp seri xxx tidak kepakai karena  dapat hadiah dari kantor anj kantor mana yang hadiahnya hp kalau difasilitasi iya ya aku percaya ini hadiah kantor loh kalau jual mah jual aj jangan ada embel embel hadiah kantor kocak,"['buka', 'marketplace', 'facebook', 'jualbeli', 'hp', 'captionnya', 'dijual', 'hp', 'seri', 'xxx', 'kepakai', 'hadiah', 'kantor', 'anj', 'kantor', 'mana', 'hadiahnya', 'hp', 'kalau', 'difasilitasi', 'iya', 'aku', 'percaya', 'hadiah', 'kantor', 'loh', 'kalau', 'jual', 'mah', 'jual', 'aj', 'jangan', 'embel', 'embel', 'hadiah', 'kantor', 'kocak']","['buka', 'marketplace', 'facebook', 'jualbeli', 'hp', 'captionnya', 'jual', 'hp', 'seri', 'xxx', 'pakai', 'hadiah', 'kantor', 'anj', 'kantor', 'mana', 'hadiah', 'hp', 'kalau', 'fasilitas', 'iya', 'aku', 'percaya', 'hadiah', 'kantor', 'loh', 'kalau', 'jual', 'mah', 'jual', 'aj', 'jangan', 'embel', 'embel', 'hadiah', 'kantor', 'kocak']",negative,buka marketplace facebook jualbeli hp captionnya jual hp seri xxx pakai hadiah kantor anj kantor mana hadiah hp kalau fasilitas iya aku percaya hadiah kantor loh kalau jual mah jual aj jangan embel embel hadiah kantor kocak
@tanyarlfes Kaya ga ada aja yg jual di olx atau facebook bisa cod ini malah beli di marketplace yg bukan dari toko resmi udahlah hibahkan,kaya ga ada aja yg jual di olx atau facebook bisa cod ini malah beli di marketplace yg bukan dari toko resmi udahlah hibahkan,"['kaya', 'ga', 'ada', 'aja', 'yg', 'jual', 'di', 'olx', 'atau', 'facebook', 'bisa', 'cod', 'ini', 'malah', 'beli', 'di', 'marketplace', 'yg', 'bukan', 'dari', 'toko', 'resmi', 'udahlah', 'hibahkan']",seperti tidak ada saja yang jual di olx atau facebook bisa cod ini malah beli di marketplace yang bukan dari toko resmi udahlah hibahkan,"['jual', 'olx', 'facebook', 'cod', 'malah', 'beli', 'marketplace', 'bukan', 'toko', 'resmi', 'udahlah', 'hibahkan']","['jual', 'olx', 'facebook', 'cod', 'malah', 'beli', 'marketplace', 'bukan', 'toko', 'resmi', 'udahlah', 'hibah']",positive,jual olx facebook cod malah beli marketplace bukan toko resmi udahlah hibah
Ga nge jual beli bikin emosi transaksi di marketplace Facebook jir,ga nge jual beli bikin emosi transaksi di marketplace facebook jir,"['ga', 'nge', 'jual', 'beli', 'bikin', 'emosi', 'transaksi', 'di', 'marketplace', 'facebook', 'jir']",tidak nge jual beli bikin emosi transaksi di marketplace facebook jir,"['nge', 'jual', 'beli', 'bikin', 'emosi', 'transaksi', 'marketplace', 'facebook', 'jir']","['nge', 'jual', 'beli', 'bikin', 'emosi', 'transaksi', 'marketplace', 'facebook', 'jir']",negative,nge jual beli bikin emosi transaksi marketplace facebook jir
Jadi Korban Penipuan Jual Beli Mobil di Marketplace Facebook Warga Klungkung Ini Rugi Rp7 5 Juta https://t.co/37OagpYcGo,jadi korban penipuan jual beli mobil di marketplace facebook warga klungkung ini rugi rp juta,"['jadi', 'korban', 'penipuan', 'jual', 'beli', 'mobil', 'di', 'marketplace', 'facebook', 'warga', 'klungkung', 'ini', 'rugi', 'rp', 'juta']",jadi korban penipuan jual beli mobil di marketplace facebook warga klungkung ini rugi rupiah juta,"['jadi', 'korban', 'penipuan', 'jual', 'beli', 'mobil', 'marketplace', 'facebook', 'warga', 'klungkung', 'rugi', 'rupiah', 'juta']","['jadi', 'korban', 'tipu', 'jual', 'beli', 'mobil', 'marketplace', 'facebook', 'warga', 'klungkung', 'rugi', 'rupiah', 'juta']",negative,jadi korban tipu jual beli mobil marketplace facebook warga klungkung rugi rupiah juta
@unicelounge Cek situs jual beli bekas seperti OLX Bukalapak atau Facebook Marketplace untuk mencari case preloved iPhone XR.,cek situs jual beli bekas seperti olx bukalapak atau facebook marketplace untuk mencari case preloved iphone xr,"['cek', 'situs', 'jual', 'beli', 'bekas', 'seperti', 'olx', 'bukalapak', 'atau', 'facebook', 'marketplace', 'untuk', 'mencari', 'case', 'preloved', 'iphone', 'xr']",cek situs jual beli bekas seperti olx bukalapak atau facebook marketplace untuk mencari case preloved iphone xr,"['cek', 'situs', 'jual', 'beli', 'bekas', 'olx', 'bukalapak', 'facebook', 'marketplace', 'mencari', 'case', 'preloved', 'iphone', 'xr']","['cek', 'situs', 'jual', 'beli', 'bekas', 'olx', 'bukalapak', 'facebook', 'marketplace', 'cari', 'case', 'preloved', 'iphone', 'xr']",positive,cek situs jual beli bekas olx bukalapak facebook marketplace cari case preloved iphone xr
@i___psyche Di marketplace facebook / grup jual beli facebook di kota sekitar enak kak nanti bisa cek langsung ke tempat si penjual,di marketplace facebook grup jual beli facebook di kota sekitar enak kak nanti bisa cek langsung ke tempat si penjual,"['di', 'marketplace', 'facebook', 'grup', 'jual', 'beli', 'facebook', 'di', 'kota', 'sekitar', 'enak', 'kak', 'nanti', 'bisa', 'cek', 'langsung', 'ke', 'tempat', 'si', 'penjual']",di marketplace facebook grup jual beli facebook di kota sekitar enak kak nanti bisa cek langsung ke tempat si penjual,"['marketplace', 'facebook', 'grup', 'jual', 'beli', 'facebook', 'kota', 'enak', 'kak', 'cek', 'langsung', 'tempat', 'si', 'penjual']","['marketplace', 'facebook', 'grup', 'jual', 'beli', 'facebook', 'kota', 'enak', 'kak', 'cek', 'langsung', 'tempat', 'si', 'jual']",positive,marketplace facebook grup jual beli facebook kota enak kak cek langsung tempat si jual
@glrhn Dia belum pernah merasakan jual beli di marketplace facebook,dia belum pernah merasakan jual beli di marketplace facebook,"['dia', 'belum', 'pernah', 'merasakan', 'jual', 'beli', 'di', 'marketplace', 'facebook']",dia belum pernah merasakan jual beli di marketplace facebook,"['pernah', 'merasakan', 'jual', 'beli', 'marketplace', 'facebook']","['pernah', 'rasa', 'jual', 'beli', 'marketplace', 'facebook']",positive,pernah rasa jual beli marketplace facebook
